CountryCode,question,"Mean,b","Mean,f","Mean,m"
IS,Satisfaction with health,8,7.7,8.2
ME,Satisfaction with health,8,7.8,8.3
MK,Satisfaction with health,7.7,7.4,7.9
RS,Satisfaction with health,7.4,7,7.8
TR,Satisfaction with health,7.5,7.2,7.8
XK,Satisfaction with health,7.4,7,7.7
AT,Satisfaction with health,7.9,7.8,8.1
BE,Satisfaction with health,7.4,7.3,7.4
BG,Satisfaction with health,6.8,6.5,7.2
CY,Satisfaction with health,8.4,8.3,8.6
CZ,Satisfaction with health,7.1,6.9,7.2
DE,Satisfaction with health,7.2,7.3,7.2
DK,Satisfaction with health,8,8,8.1
EE,Satisfaction with health,6.6,6.5,6.7
EL,Satisfaction with health,7.8,7.6,8
ES,Satisfaction with health,7.5,7.4,7.6
FI,Satisfaction with health,7.7,7.8,7.6
FR,Satisfaction with health,7.4,7.3,7.5
HR,Satisfaction with health,7.3,7.1,7.6
HU,Satisfaction with health,6.7,6.6,6.9
IE,Satisfaction with health,8,8.2,7.7
IT,Satisfaction with health,7.5,7.3,7.6
LT,Satisfaction with health,6.9,6.6,7.2
LU,Satisfaction with health,7.7,7.6,7.8
LV,Satisfaction with health,6.5,6.1,7
MT,Satisfaction with health,7.9,7.9,8
NL,Satisfaction with health,7.4,7.3,7.5
PL,Satisfaction with health,6.8,6.6,6.9
PT,Satisfaction with health,7.1,6.8,7.3
RO,Satisfaction with health,7.2,6.9,7.7
SE,Satisfaction with health,7.7,7.5,7.9
SI,Satisfaction with health,7.3,7.2,7.4
SK,Satisfaction with health,7.3,7.1,7.6
UK,Satisfaction with health,7.3,7.2,7.4
