CountryCode,question,"Mean,b","Mean,f","Mean,m"
IS,"Taking all things together, how happy would you say you are?",8.3,8.3,8.3
ME,"Taking all things together, how happy would you say you are?",7.6,7.7,7.5
MK,"Taking all things together, how happy would you say you are?",7.2,7.2,7.1
RS,"Taking all things together, how happy would you say you are?",7.1,7,7.2
TR,"Taking all things together, how happy would you say you are?",6.9,6.9,6.9
XK,"Taking all things together, how happy would you say you are?",6.3,6.2,6.4
AT,"Taking all things together, how happy would you say you are?",7.7,7.7,7.7
BE,"Taking all things together, how happy would you say you are?",7.6,7.7,7.5
BG,"Taking all things together, how happy would you say you are?",6.3,6.3,6.3
CY,"Taking all things together, how happy would you say you are?",7.6,7.5,7.8
CZ,"Taking all things together, how happy would you say you are?",7.1,7.1,7.1
DE,"Taking all things together, how happy would you say you are?",7.4,7.5,7.3
DK,"Taking all things together, how happy would you say you are?",8.2,8.2,8.2
EE,"Taking all things together, how happy would you say you are?",6.8,6.9,6.7
EL,"Taking all things together, how happy would you say you are?",6.5,6.5,6.5
ES,"Taking all things together, how happy would you say you are?",7.8,7.8,7.7
FI,"Taking all things together, how happy would you say you are?",8.1,8.3,8
FR,"Taking all things together, how happy would you say you are?",7.4,7.4,7.4
HR,"Taking all things together, how happy would you say you are?",7.3,7.2,7.3
HU,"Taking all things together, how happy would you say you are?",6.9,6.8,7
IE,"Taking all things together, how happy would you say you are?",7.7,7.8,7.5
IT,"Taking all things together, how happy would you say you are?",7.1,7,7.2
LT,"Taking all things together, how happy would you say you are?",7,7,7
LU,"Taking all things together, how happy would you say you are?",7.8,7.8,7.9
LV,"Taking all things together, how happy would you say you are?",6.7,6.7,6.6
MT,"Taking all things together, how happy would you say you are?",7.2,7.3,7.2
NL,"Taking all things together, how happy would you say you are?",7.7,7.8,7.7
PL,"Taking all things together, how happy would you say you are?",7.3,7.3,7.3
PT,"Taking all things together, how happy would you say you are?",7.2,7.1,7.3
RO,"Taking all things together, how happy would you say you are?",7,6.8,7.2
SE,"Taking all things together, how happy would you say you are?",7.8,7.9,7.7
SI,"Taking all things together, how happy would you say you are?",7.1,7.1,7.1
SK,"Taking all things together, how happy would you say you are?",6.9,6.9,6.9
UK,"Taking all things together, how happy would you say you are?",7.6,7.6,7.6
