CountryCode,question,"Strongly disagree,b","Disagree,b","Neither agree nor disagree,b","Agree,b","Strongly agree,b","Strongly disagree,f","Disagree,f","Neither agree nor disagree,f","Agree,f","Strongly agree,f","Strongly disagree,m","Disagree,m","Neither agree nor disagree,m","Agree,m","Strongly agree,m"
IS,I generally feel that what I do in life is worthwhile,0.1,0.3,6,55.2,38.4,0.3,0.6,3.9,53.9,41.4,,,8.1,56.5,35.4
ME,I generally feel that what I do in life is worthwhile,0.5,2.2,12.1,44.5,40.6,0.4,2.1,12.5,42.3,42.7,0.6,2.4,11.7,47,38.4
MK,I generally feel that what I do in life is worthwhile,0.4,4.6,16.2,46.4,32.4,0.3,4.8,16.5,48.8,29.5,0.5,4.4,15.8,44,35.4
RS,I generally feel that what I do in life is worthwhile,1,4.5,13.4,47.2,33.9,0.8,4.3,15,45.8,34.1,1.2,4.8,11.8,48.7,33.6
TR,I generally feel that what I do in life is worthwhile,2.3,7.3,15.8,52,22.6,2.3,7.8,16.7,50.1,23.2,2.3,6.9,14.9,54,21.9
XK,I generally feel that what I do in life is worthwhile,0.6,2.9,14.6,49.6,32.4,0.7,4.6,14.3,49.4,30.9,0.5,1.3,14.8,49.7,33.7
AT,I generally feel that what I do in life is worthwhile,0.9,2.5,13.2,45.7,37.7,0.6,2.8,16,46.3,34.3,1.3,2.2,10.2,45,41.3
BE,I generally feel that what I do in life is worthwhile,1.1,5.3,12.5,64.8,16.3,0.8,5.6,11.3,66,16.4,1.4,5.1,13.8,63.5,16.2
BG,I generally feel that what I do in life is worthwhile,1.8,6.1,17.6,49.1,25.4,1.2,4.5,19.3,49,26,2.4,7.8,15.7,49.3,24.8
CY,I generally feel that what I do in life is worthwhile,0.8,10.2,14.1,42.2,32.8,0.6,12.1,13.5,43.4,30.4,0.9,8.3,14.6,40.9,35.3
CZ,I generally feel that what I do in life is worthwhile,0.4,6,20.2,53.5,19.9,0.8,5.7,21.1,54.1,18.3,2.3,6.3,19.2,52.9,21.6
DE,I generally feel that what I do in life is worthwhile,1.9,7.4,15.1,47.6,28.1,1.4,7.3,14.1,48.5,28.6,0.2,7.6,16.1,46.6,27.4
DK,I generally feel that what I do in life is worthwhile,0.2,1.6,6.7,29.9,61.5,0.2,1.5,8.9,31.2,58.3,1.7,1.8,4.5,28.6,64.9
EE,I generally feel that what I do in life is worthwhile,1.3,5.4,15.2,57.2,20.9,0.9,4.7,15.6,58.1,20.7,4.8,6.3,14.6,56.1,21.2
EL,I generally feel that what I do in life is worthwhile,5.4,15.5,31.2,37.3,10.5,5.9,15.4,31.9,38.7,8,1.1,15.6,30.4,36,13.1
ES,I generally feel that what I do in life is worthwhile,0.8,6,11.7,51.9,29.6,0.6,5.9,10.7,52.1,30.8,0.9,6.1,12.7,51.8,28.3
FI,I generally feel that what I do in life is worthwhile,0.5,3,6.9,52.9,36.7,MANCA,1.8,6.2,50.1,41.9,1.9,4.3,7.7,55.8,31.2
FR,I generally feel that what I do in life is worthwhile,1.7,5.1,12.2,52.3,28.7,1.5,4.6,13.6,52.5,27.9,0.1,5.7,10.7,52.2,29.5
HR,I generally feel that what I do in life is worthwhile,0.6,4.9,11.1,47.7,35.7,0.9,4.9,11,48.8,34.4,3.2,5,11.3,46.5,37.1
HU,I generally feel that what I do in life is worthwhile,2.1,8.6,21.3,47.2,20.8,1.1,10,22.1,45.6,21.1,0.1,7,20.4,48.9,20.6
IE,I generally feel that what I do in life is worthwhile,0.4,3.8,5.9,63.8,26.2,0.6,3.1,5,64.3,27,0.7,4.5,6.9,63.2,25.3
IT,I generally feel that what I do in life is worthwhile,0.8,5.1,15.6,56.9,21.5,0.8,5.6,15.3,56.3,21.9,1.9,4.6,16,57.6,21.1
LT,I generally feel that what I do in life is worthwhile,1.3,9.2,20.1,53.1,16.3,0.9,6.7,22.2,53.5,16.7,0.2,12.2,17.6,52.5,15.7
LU,I generally feel that what I do in life is worthwhile,0.6,4,6.7,51.5,37.3,1.1,4.9,8.6,47.3,38,0.9,3,4.7,55.7,36.5
LV,I generally feel that what I do in life is worthwhile,1.4,8.1,16.8,49.7,24,1.7,6.9,14.5,51.9,25,1,9.5,19.7,47,22.9
MT,I generally feel that what I do in life is worthwhile,0.8,2.6,8.6,63.5,24.5,0.5,2.5,9.4,61.9,25.7,0.4,2.8,7.8,65.2,23.2
NL,I generally feel that what I do in life is worthwhile,0.4,2.7,5.6,63.7,27.7,0.3,2.9,5.6,61.4,29.8,2.6,2.4,5.5,66.1,25.5
PL,I generally feel that what I do in life is worthwhile,2.3,9.3,15.8,55.1,17.4,2.2,9.5,16.3,53.9,18.1,0.9,9.1,15.4,56.3,16.6
PT,I generally feel that what I do in life is worthwhile,0.9,6.6,18.5,53.9,20.1,0.9,6.2,20.8,54.6,17.5,1.2,7,16.1,53.2,22.8
RO,I generally feel that what I do in life is worthwhile,1.1,4.6,13.7,44.3,36.2,0.9,4.8,15.8,44.8,33.6,0.5,4.4,11.5,43.8,39
SE,I generally feel that what I do in life is worthwhile,0.6,3.1,6.4,42.8,47.1,0.8,3.6,5.1,38.2,52.3,2,2.6,7.7,47.6,41.7
SI,I generally feel that what I do in life is worthwhile,1.4,5.3,19.1,48.1,26,0.8,4.9,20.8,49.5,24,1.4,5.8,17.4,46.8,28
SK,I generally feel that what I do in life is worthwhile,0.9,5.3,24.7,48.9,20.2,0.5,4.4,23.4,51.7,20,1.2,6.1,26.3,45.7,20.4
UK,I generally feel that what I do in life is worthwhile,1.1,5.7,11.2,59.5,22.4,1.1,6,10.5,61.1,21.3,,5.5,11.9,57.8,23.6
